Groundwater Sustainability Plan,Allocations,Allocation Base,Allocation Description,Trading,Trading Description,Taxes/Fees,Tax Base,Rate Structure,Taxes Description,Pumping Restrictions,Restriction Description,Restriction Description (Just Page Number),Efficiency Incentives,Incentive Page Number,Incentive Description,Other,Notes,Status,Last updated,GSP_ID
Antelope Subbasin Groundwater Sustainability Plan,M,Extraction,,M,,M,Extraction,Tiered,,M,"If other PMA's fail to ensure sustainability, land fallowing can be enforced.",383 (4-53 in document),M,381 (4-51 in document),"This management action would offer incentives for urban, residential, and commercial projects that improve water use efficiency. Residential and municipal water in the Subbasin is primarily supplied by groundwater. Improvements in residential and municipal water use efficiency thus support in-lieu groundwater recharge. Potential incentives and offers through this management action may include rebates for high efficiency appliances and incentives for lawn removal, low-water landscape installation, rain barrels, graywater reuse, or other activities that offset groundwater demand",Grower education: educating farmers on more efficient groundwater use practices. p 358,,Review in progress,03/13/2023,134
Groundwater Sustainability Plan Santa Rosa Plain Groundwater Subbasin,N,NA,NA,N,NA,N,NA,NA,NA,N,NA,NA,M,385,"""The Group 1 projects represent voluntary, incentive-based water-use efficiency and alternate water source projects focused on non-municipal groundwater users"" (385)",Assessment of policy options,"p 388: ""should the above-described projects and management actions not be sufficient to eliminate undesirable results ... the GSA has authorities to limit groundwater pumping""  p 391: Assesment of Potential Policy Options including ""Study of water markets"" and ""stronger demand management actions"" in the case that current projects aren't successful.",Approved,02/28/2023,136
Bowman Subbasin Groundwater Sustainability Plan,M,NA,p. 348 not specified,N,NA,M,Extraction,Tiered,"Tax base is extraction, rate structure is tiered. Otherwise unspecified. (p 348)",M,"""Curtailing and/or restricting groundwater extractions by creating and enforcing or incentivizing a land fallowing program""  ""[a] backstop measure that would be considered and implemented only if other planned PMA's are insufficient to maintain sustainability"" ",348,M,p 382 (4-52 in document),"Offer incentives for urban, residential, and commercial projects that
improve water use efficiency, such as high efficiency appliance rebates
and incentives for lawn removal, low-water landscape installation, rain
barrels, graywater reuse, etc.",,,Review in progress,03/09/2023,137
Bear Valley Basin Groundwater Sustainability Plan,N,NA,,N,,Y,Extraction,Tiered,"""Tiered water rates where the cost per unit of water increases as the total volume 
of water used increase has been shown to encourage conservation"" (151)",N,NA,NA,Y,151,"Bill inserts, media advertising, public signs, school programs, social media postings, community events, rebates and outdoor conservation audits.",,,Review in progress,04/18/2023,138
Los Molinos Subbasin Groundwater Sustainability Plan,M,Extraction,,M,,M,Extraction,Tiered,,N,"If other PMA's fail to ensure sustainability, land fallowing can be enforced.",350,M,"349, 350, 351","As part of the Assistance and Incentives for On-Farm Irrigation Infrastructure Improvements PMA: ""Assist growers with conversion to efficient and dual-source irrigation systems. Related efforts may include soil mapping to customize irrigation timing and duration and grower education to encourage soil management to improve moisture retention"" (349). As part of Incentives for Use of Available Surface Water and Recycled Water PMA: ""Incentivize use of surface water for irrigation when available to allow groundwater levels to recover in between drought years when surface water is not available."" ""Provide incentives for use of recycled water of suitable quality (e.g., treated wastewater) for groundwater recharge and for urban or agricultural irrigation to decrease groundwater demand"" (351).","As part of Demand Management PMA: ""Promote conversion of agricultural lands to less water intensive crops to reduce water while continuing to promote agriculture land use. Restrict land use changes that increase water demand in the Subbasin. Would be considered if other planned PMAs are insufficient to maintain sustainability."" (350)",,Review in progress,03/14/2023,139
Red Bluff Subbasin Groundwater Sustainability Plan,M,NA,,N,,M,Extraction,Tiered,,N,NA,NA,M,373,"This project would incentivize expanded use of CVP supply by irrigators in Proberta WD and Thomes Creek WD, with the goal of using the full supply available to each district on the Corning Canal. Encouraging irrigators to use more surface water would offset groundwater demand, providing in-lieu recharge benefits to Subbasin. (352) This education program could be coupled with an incentive program to encourage additional use of surface water in-lieu of pumping groundwater. This would be particularly effective in instances where groundwater is, from the perspective of the grower, effectively cheaper than surface water. (373)",,,Review in progress,,140
Riverside-Arlington GSP,N,,,N,,N,,,,M,NA,192,Y,190,"Rebate programs, Qualified Water Efficient Landscaper Program, Irrigation Efficiency, Low impact development standards",,,Review in progress,04/20/2023,144
San Joaquin Pleasant Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The file is damaged and cannot be opened,Review in progress,04/20/2023,145
San Gabriel Valley GSP,Y,NA,One-year carryover of unused rights ,Y,Transfer of Allowed Pumping Allocation and stored water between Parties through sales and leases,Y,Extraction,Tiered,NA,N,NA,NA,N,NA,NA,,,Review in progress,04/20/2023,149
South of Kern River GSP,N,NA,,N,NA,N,NA,NA,NA,N,NA,NA,N,NA,NA,,,Inadequate,04/20/2023,150
